               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.019807,           0.0064824,                   0,             0.99975,                   1,               0.995,             0.76615,            0.016317,           0.0038286,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.019449,           0.0064658,                   0,             0.99976,                   1,               0.995,             0.80816,            0.010327,           0.0032844,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.018022,            0.006009,                   0,             0.99977,                   1,               0.995,             0.81831,            0.012722,             0.00333,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.017897,           0.0056578,                   0,             0.99978,                   1,               0.995,             0.90067,           0.0092005,           0.0032732,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.018486,           0.0062188,                   0,             0.99978,                   1,               0.995,             0.85823,            0.012193,           0.0035832,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.017899,           0.0059946,                   0,             0.99979,                   1,               0.995,             0.85597,            0.010138,            0.003267,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.017689,           0.0056143,                   0,             0.99978,                   1,               0.995,             0.86234,            0.012804,            0.003527,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.015889,           0.0057232,                   0,             0.99979,                   1,               0.995,              0.9435,           0.0083351,           0.0030245,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.016225,           0.0058412,                   0,             0.99979,                   1,               0.995,             0.91364,           0.0066892,           0.0029931,                   0,            0.008482,            0.008482,            0.008482
                  48,             0.01653,           0.0051514,                   0,             0.99978,                   1,               0.995,             0.85116,            0.009035,           0.0032061,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.016893,           0.0056537,                   0,             0.99978,                   1,               0.995,             0.86732,           0.0083595,           0.0031048,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.016085,           0.0055088,                   0,             0.99978,                   1,               0.995,             0.93406,           0.0072698,           0.0029482,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.016677,            0.005631,                   0,              0.9998,                   1,               0.995,             0.90151,           0.0073871,           0.0028944,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.016101,           0.0055343,                   0,             0.99978,                   1,               0.995,             0.80155,            0.012286,           0.0033767,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.015305,           0.0055113,                   0,              0.9998,                   1,               0.995,             0.91272,           0.0077829,           0.0030286,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.014339,           0.0053287,                   0,              0.9998,                   1,               0.995,              0.9586,           0.0066443,           0.0027548,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.016053,            0.005933,                   0,             0.99979,                   1,               0.995,             0.95938,           0.0075079,           0.0029439,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.016252,            0.005878,                   0,             0.99979,                   1,               0.995,             0.89241,           0.0073155,           0.0028017,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.015844,           0.0053188,                   0,             0.99977,                   1,               0.995,             0.80853,            0.011438,           0.0031264,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.014422,            0.005314,                   0,             0.99979,                   1,               0.995,             0.83486,            0.008971,           0.0029702,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.015375,           0.0055147,                   0,             0.99978,                   1,               0.995,             0.92991,            0.008023,           0.0029151,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.013846,           0.0051872,                   0,              0.9998,                   1,               0.995,             0.93709,           0.0077106,           0.0030185,                   0,            0.008053,            0.008053,            0.008053
                  61,             0.01594,           0.0058282,                   0,              0.9998,                   1,               0.995,             0.86795,           0.0089781,           0.0028806,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.014141,           0.0055153,                   0,             0.99981,                   1,               0.995,             0.87472,           0.0093132,           0.0035189,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.014399,           0.0053042,                   0,             0.99979,                   1,               0.995,             0.90501,           0.0094231,           0.0029439,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.015237,           0.0053572,                   0,              0.9998,                   1,               0.995,             0.89176,           0.0070135,           0.0027757,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.014657,           0.0052458,                   0,              0.9998,                   1,               0.995,             0.91573,           0.0072501,           0.0027963,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.014135,           0.0051587,                   0,             0.99978,                   1,               0.995,             0.87315,            0.010759,           0.0031089,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.015704,           0.0054293,                   0,              0.9998,                   1,               0.995,             0.94877,           0.0054968,           0.0027676,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.013768,           0.0052317,                   0,              0.9998,                   1,               0.995,             0.95755,           0.0067566,           0.0026986,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.013388,           0.0050466,                   0,              0.9998,                   1,               0.995,             0.92982,           0.0064618,           0.0026617,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.012054,           0.0051104,                   0,             0.99981,                   1,               0.995,             0.90233,           0.0063223,           0.0030778,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.013394,           0.0051684,                   0,             0.99981,                   1,               0.995,             0.96035,           0.0051341,           0.0026626,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.013096,           0.0046399,                   0,              0.9998,                   1,               0.995,             0.89913,           0.0066237,           0.0024816,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.014509,           0.0048259,                   0,             0.99981,                   1,               0.995,             0.92637,           0.0065354,           0.0024551,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.012694,           0.0049345,                   0,              0.9998,                   1,               0.995,             0.89722,           0.0072266,           0.0026326,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.014363,           0.0049663,                   0,              0.9998,                   1,               0.995,             0.94379,           0.0051484,           0.0027569,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.013929,            0.004777,                   0,             0.99981,                   1,               0.995,             0.96797,           0.0047295,           0.0023483,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.012778,           0.0050734,                   0,             0.99981,                   1,               0.995,             0.88903,           0.0080163,           0.0027607,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.012043,           0.0048801,                   0,              0.9998,                   1,               0.995,             0.95312,           0.0059997,           0.0023686,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.012378,           0.0046354,                   0,             0.99981,                   1,               0.995,             0.87639,           0.0078265,           0.0026807,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.012807,           0.0046912,                   0,             0.99981,                   1,               0.995,             0.93557,           0.0057451,           0.0023645,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.013658,            0.004822,                   0,              0.9998,                   1,               0.995,             0.90172,           0.0072001,           0.0025858,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.011438,           0.0045296,                   0,             0.99979,                   1,               0.995,              0.9304,           0.0050328,            0.002535,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.012988,           0.0049194,                   0,             0.99981,                   1,               0.995,             0.95694,           0.0042499,           0.0022589,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.011994,           0.0045484,                   0,              0.9998,                   1,               0.995,             0.91355,           0.0061466,           0.0024429,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.011916,            0.004953,                   0,             0.99981,                   1,               0.995,             0.96059,           0.0060956,            0.002418,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.011758,           0.0045465,                   0,             0.99981,                   1,               0.995,             0.97423,           0.0050343,           0.0023636,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.012603,           0.0049249,                   0,             0.99981,                   1,               0.995,              0.9353,           0.0057145,           0.0023658,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.013107,           0.0047653,                   0,             0.99981,                   1,               0.995,             0.96091,           0.0054638,            0.002264,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.012943,           0.0044701,                   0,             0.99981,                   1,               0.995,              0.9472,           0.0050707,           0.0024047,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.011903,           0.0046329,                   0,              0.9998,                   1,               0.995,             0.98901,           0.0046848,           0.0023042,                   0,            0.007063,            0.007063,            0.007063
                  91,             0.01272,           0.0045614,                   0,             0.99981,                   1,               0.995,             0.94339,           0.0054035,           0.0023354,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.011638,           0.0044157,                   0,             0.99981,                   1,               0.995,             0.98662,           0.0045006,           0.0023161,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.011603,             0.00439,                   0,              0.9998,                   1,               0.995,             0.96011,           0.0061079,           0.0024264,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.011619,           0.0045168,                   0,             0.99981,                   1,               0.995,             0.98363,           0.0048133,           0.0022248,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.012174,            0.004394,                   0,             0.99981,                   1,               0.995,             0.99102,           0.0046305,           0.0021109,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.011471,           0.0041911,                   0,              0.9998,                   1,               0.995,             0.86309,           0.0096634,           0.0026025,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.011662,           0.0044536,                   0,             0.99981,                   1,               0.995,             0.93648,           0.0061484,           0.0023024,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.011764,           0.0044045,                   0,             0.99981,                   1,               0.995,             0.95685,           0.0059925,           0.0022227,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.011692,           0.0043241,                   0,             0.99981,                   1,               0.995,             0.96306,           0.0046708,           0.0021062,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.010587,           0.0044761,                   0,             0.99981,                   1,               0.995,             0.98653,           0.0061037,           0.0022698,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.010833,           0.0041609,                   0,             0.99981,                   1,               0.995,             0.93137,           0.0055361,           0.0022694,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.010067,           0.0042578,                   0,             0.99981,                   1,               0.995,             0.98113,           0.0036304,           0.0020831,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.011057,            0.004579,                   0,             0.99982,                   1,               0.995,             0.96903,           0.0056419,           0.0021207,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.011829,           0.0043097,                   0,             0.99982,                   1,               0.995,             0.91468,            0.006028,           0.0022537,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.011579,           0.0044764,                   0,             0.99981,                   1,               0.995,             0.90549,           0.0075134,           0.0023265,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.010744,           0.0043077,                   0,              0.9998,                   1,               0.995,             0.96346,           0.0058212,           0.0023604,                   0,            0.006535,            0.006535,            0.006535
