               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.01859,           0.0063249,                   0,             0.99973,                   1,               0.995,             0.86857,            0.014358,           0.0037231,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.018616,           0.0063009,                   0,             0.99973,                   1,               0.995,             0.87526,           0.0094848,           0.0033037,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.018207,            0.006004,                   0,             0.99976,                   1,               0.995,             0.86108,            0.010221,           0.0036345,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.016904,           0.0055836,                   0,             0.99978,                   1,               0.995,             0.87968,            0.011062,           0.0036562,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.018358,            0.006348,                   0,             0.99977,                   1,               0.995,             0.88908,           0.0081399,             0.00333,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.016894,           0.0059196,                   0,             0.99977,                   1,               0.995,             0.81281,           0.0094332,           0.0034603,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.017451,           0.0055134,                   0,             0.99978,                   1,               0.995,             0.89589,           0.0076757,           0.0032333,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.016145,           0.0057606,                   0,             0.99977,                   1,               0.995,             0.87376,            0.012007,           0.0036163,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.018966,           0.0060756,                   0,             0.99978,                   1,               0.995,             0.89737,           0.0093098,            0.003436,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.016684,            0.005234,                   0,             0.99976,                   1,               0.995,             0.87365,           0.0092752,           0.0034013,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.016525,            0.005678,                   0,             0.99977,                   1,               0.995,             0.94029,           0.0062204,           0.0031107,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.015717,            0.005433,                   0,             0.99977,                   1,               0.995,             0.89471,           0.0074077,           0.0031171,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.016346,           0.0055784,                   0,             0.99977,                   1,               0.995,             0.88078,           0.0083938,           0.0031243,                   0,             0.00835,             0.00835,             0.00835
                  52,             0.01593,           0.0055591,                   0,             0.99979,                   1,               0.995,             0.85408,            0.010317,           0.0033663,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.015692,           0.0055496,                   0,             0.99978,                   1,               0.995,             0.97041,           0.0055862,           0.0029871,                   0,            0.008284,            0.008284,            0.008284
                  54,             0.01464,           0.0053663,                   0,             0.99979,                   1,               0.995,             0.91574,           0.0070715,           0.0029357,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.016033,            0.005941,                   0,             0.99977,                   1,               0.995,             0.90868,           0.0076647,           0.0030157,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.015946,           0.0056518,                   0,             0.99979,                   1,               0.995,             0.91686,           0.0069654,           0.0030103,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.015547,           0.0052723,                   0,             0.99978,                   1,               0.995,             0.81734,           0.0089999,           0.0031784,                   0,            0.008152,            0.008152,            0.008152
